State_ID,State_Name,Client_Says_Example,Client_Intent,Detection_Checks,Therapist_Action,RAG_Query,Fallback_Response,Framework_Trigger,Next_State_If,Next_State_Else,Implementation_Notes
1.1,Goal Inquiry,"I'm stressed, overwhelmed",session_start,"body_words, thinking_mode, tense",ask_goal,dr_q_goal_inquiry,"What do we want our time together to accomplish? What do we want to get better for you?",none,goal_stated→1.2,vague_problem→1.1_redirect,"Ask what client wants to achieve"
1.1_redirect,Redirect to Goal,"Work is hectic, pressure",describes_problem,"body_words, stressor_type",redirect_to_goal,dr_q_redirect_outcome,"I hear {problem}. What do you WANT to feel instead?",none,goal_stated→1.2,continues→repeat,"Client said problem not goal - redirect"
1.2,Build Vision,"I want to feel peaceful",states_goal,extract_desired_state,build_vision,dr_q_vision,"So we want you to be {peaceful, present, grounded}. Does that make sense?",none,accepts→1.3,clarify→explain,"Build detailed future vision"
1.3,Get Permission,"Yes that's exactly what I want",accepts_vision,check_agreement,ask_permission,dr_q_permission,"Would it be okay with you?",none,yes→1.1.5,hesitant→reassure,"Ask permission before proceeding"
1.1.5,Psycho-Education,"[permission granted]",permission_granted,understanding_check,provide_education,dr_q_psycho_education,"Here's what's happening in your brain. When you face a threat, your brain activates a survival response - just like a zebra running from a lion. Your body floods with stress hormones, muscles tense, heart races. The difference? The zebra shakes it off once the lion is gone. Humans often don't. The stress response keeps running, sometimes for years, even when the threat is over. That's what we're addressing - your brain still responding to old threats as if they're happening now. Make sense?",none,understood→2.1,confused→re-explain,"DR Q METHODOLOGY: Psycho-education using zebra/lion metaphor BEFORE exploring problem. Explains brain's survival response."
2.1,Problem Inquiry,"Yes makes sense",education_understood,"body_words, thinking_mode",ask_problem,dr_q_problem,"What's been making it hard? What's been happening?",none,has_body→2.2,no_body→2.1_seek,"Understand what's been difficult"
2.1_seek,Seek Body,"Deadlines, pressure, too much",no_body_awareness,no_body_words,guide_to_body,dr_q_to_body,"When you think about {problem}, where do you feel it in your body?",TRIGGER: card_game (attempt 3),body_mentioned→2.2,3_attempts→3.1,"Guide from external to body. MAX 3 attempts then trigger card_game OR skip to 3.1 (alpha will develop body awareness)"
2.2,Body Location,"Chest feels tight, leg pain",mentions_body,body_words=true,ask_location,dr_q_location,"Where in your body?",none,location→2.3,vague→clarify,"Get specific location"
2.3,Sensation Quality,"Right leg, below knee",gives_location,extract_location,ask_sensation,dr_q_sensation,"What kind of sensation? Ache? Tight? Heavy?",none,sensation→2.4,unclear→repeat,"Understand sensation quality"
2.4,Present Check,"It's an ache, heavy weight",describes_sensation,extract_sensation,affirm_and_check,dr_q_present_check,"That's right, {ache}. You're feeling that right now, aren't you?",none,present→2.5,not_present→guide,"Affirm + check present awareness"
2.5,Pattern Inquiry,"Yes I feel it now",present_aware,"present=true, body_aware=true",ask_pattern,dr_q_how_know,"How do you know when {problem} happens? What's happening in that moment?",none,pattern_clear→3.1,unclear→guide,"Identify trigger→thought→body"
